,epsilon,distance_epsilon,mu,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
116,0.0867,0.0032999999999999974,0.58,0.14000000000000007,18.8221652507782,0.09,0.4399999999999999,100,100,1,1,200
117,0.12190000000000001,0.008099999999999996,0.31,0.11000000000000001,16.75464940071106,0.13,0.19999999999999998,100,100,1,1,200
118,0.3326,0.002599999999999991,0.35000000000000003,0.15000000000000005,23.216599702835083,0.33,0.19999999999999998,100,100,4,1,200
119,0.25630000000000003,0.03370000000000001,0.5700000000000001,0.21000000000000013,21.473371744155884,0.29000000000000004,0.35999999999999993,100,100,16,1,200
120,0.4141,0.0040999999999999925,0.22,0.45999999999999996,18.24937129020691,0.41000000000000003,0.6799999999999999,100,100,1,1,200
121,0.4596,0.009599999999999997,0.23,0.04999999999999996,26.345801830291748,0.45,0.27999999999999997,100,100,8,1,200
122,0.3971,0.0529,0.32,0.12000000000000002,18.872111797332764,0.45,0.19999999999999998,100,100,16,1,200
123,0.2848,0.005200000000000038,0.1,0.09999999999999998,13.261529207229614,0.29000000000000004,0.19999999999999998,100,100,4,1,200
124,0.0694,0.020599999999999993,0.61,0.1499999999999999,9.389680624008179,0.09,0.7599999999999999,100,100,1,1,200
125,0.07490000000000001,0.015099999999999988,0.56,0.2799999999999998,15.065608263015747,0.09,0.8399999999999999,100,100,1,1,200
126,0.38920000000000005,0.01920000000000005,0.55,0.030000000000000138,15.818120002746582,0.37,0.5199999999999999,100,100,4,1,200
127,0.4385,0.02849999999999997,0.74,0.3000000000000001,13.752910614013672,0.41000000000000003,0.4399999999999999,100,100,4,1,200
128,0.406,0.03600000000000003,0.16,0.43999999999999995,17.170711517333984,0.37,0.6,100,100,4,1,200
129,0.0599,0.009899999999999999,0.8,0.36000000000000015,19.116283893585205,0.05,0.4399999999999999,100,100,16,1,200
130,0.2606,0.029400000000000037,0.06,0.29999999999999993,17.798483848571777,0.29000000000000004,0.35999999999999993,100,100,8,1,200
131,0.011300000000000001,0.0013000000000000008,0.49,0.029999999999999916,19.720468044281006,0.01,0.5199999999999999,100,100,4,1,200
132,0.3183,0.05169999999999997,0.55,0.3500000000000001,18.64106249809265,0.37,0.19999999999999998,100,100,8,1,200
133,0.3986,0.0514,0.2,0.16,18.49590277671814,0.45,0.04,100,100,4,1,200
134,0.22310000000000002,0.0131,0.39,0.030000000000000082,18.732362031936646,0.21000000000000002,0.35999999999999993,100,100,4,1,200
135,0.1814,0.011399999999999993,0.99,0.4700000000000001,12.442017316818237,0.17,0.5199999999999999,100,100,1,1,200
136,0.2023,0.007700000000000012,0.86,0.5,10.270683526992798,0.21000000000000002,0.35999999999999993,100,100,1,1,200
137,0.2624,0.027600000000000013,0.55,0.030000000000000138,13.589098691940308,0.29000000000000004,0.5199999999999999,100,100,4,1,200
138,0.09430000000000001,0.035699999999999996,0.11,0.6499999999999999,15.464787721633911,0.13,0.7599999999999999,100,100,8,1,200
139,0.134,0.0040000000000000036,0.53,0.06999999999999995,15.702932596206665,0.13,0.6,100,100,4,1,200
140,0.20170000000000002,0.04829999999999998,0.01,0.9099999999999999,20.702422857284546,0.25,0.9199999999999999,100,100,4,1,200
141,0.3643,0.005699999999999983,0.47000000000000003,0.28999999999999987,27.052850484848022,0.37,0.7599999999999999,100,100,4,1,200
142,0.39690000000000003,0.026900000000000035,0.17,0.5099999999999999,25.1012921333313,0.37,0.6799999999999999,100,100,4,1,200
143,0.0466,0.0034000000000000002,0.01,0.4299999999999999,26.58301043510437,0.05,0.4399999999999999,100,100,4,1,200
144,0.1615,0.008500000000000008,0.9,0.86,13.989345073699951,0.17,0.04,100,100,8,1,200
145,0.0402,0.009800000000000003,0.87,0.1100000000000001,9.680516958236694,0.05,0.7599999999999999,100,100,1,1,200
146,0.45430000000000004,0.004300000000000026,0.14,0.020000000000000018,16.992236137390137,0.45,0.12,100,100,4,1,200
147,0.0975,0.007500000000000007,0.09,0.7499999999999999,17.734405994415283,0.09,0.8399999999999999,100,100,16,1,200
148,0.34750000000000003,0.0625,0.52,0.4,17.96053671836853,0.41000000000000003,0.12,100,100,8,1,200
149,0.024300000000000002,0.014300000000000002,0.85,0.4100000000000001,17.809696912765503,0.01,0.4399999999999999,100,100,16,1,200
150,0.464,0.014000000000000012,0.28,0.15999999999999986,17.12988543510437,0.45,0.4399999999999999,100,100,8,1,200
151,0.1721,0.0421,0.09,0.42999999999999994,13.620753526687622,0.13,0.5199999999999999,100,100,4,1,200
152,0.33840000000000003,0.0484,0.9,0.14000000000000012,13.77277159690857,0.29000000000000004,0.7599999999999999,100,100,8,1,200
153,0.22290000000000001,0.027099999999999985,0.58,0.17999999999999994,13.432363033294678,0.25,0.7599999999999999,100,100,8,1,200
154,0.0848,0.005199999999999996,0.24,0.2799999999999999,14.504531145095825,0.09,0.5199999999999999,100,100,4,1,200
155,0.1252,0.004799999999999999,0.19,0.5699999999999998,15.867157697677612,0.13,0.7599999999999999,100,100,4,1,200
156,0.32030000000000003,0.009699999999999986,0.56,0.039999999999999925,8.428019762039185,0.33,0.6,100,100,1,1,200
157,0.13870000000000002,0.008700000000000013,0.2,0.15999999999999992,13.159583806991577,0.13,0.35999999999999993,100,100,4,1,200
158,0.251,0.039000000000000035,0.8200000000000001,0.060000000000000164,14.698678016662598,0.29000000000000004,0.7599999999999999,100,100,8,1,200
159,0.2383,0.011699999999999988,0.02,0.02,14.678824663162231,0.25,0.04,100,100,1,1,200
160,0.3526,0.01739999999999997,0.09,0.049999999999999996,15.417553901672363,0.37,0.04,100,100,8,1,200
161,0.402,0.03200000000000003,0.9400000000000001,0.9,9.038473844528198,0.37,0.04,100,100,1,1,200
162,0.32030000000000003,0.030299999999999994,0.21,0.47,13.792744159698486,0.29000000000000004,0.6799999999999999,100,100,16,1,200
163,0.1885,0.02150000000000002,0.36,0.16,10.026206970214844,0.21000000000000002,0.19999999999999998,100,100,1,1,200
164,0.14730000000000001,0.0627,0.73,0.2900000000000001,13.482213497161865,0.21000000000000002,0.4399999999999999,100,100,4,1,200
165,0.18230000000000002,0.012300000000000005,0.72,0.040000000000000036,17.068428993225098,0.17,0.6799999999999999,100,100,8,1,200
166,0.0873,0.002699999999999994,0.62,0.05999999999999994,12.517715692520142,0.09,0.6799999999999999,100,100,4,1,200
167,0.10450000000000001,0.014500000000000013,0.89,0.4500000000000001,14.669017314910889,0.09,0.4399999999999999,100,100,8,1,200
168,0.2424,0.007599999999999996,0.24,0.11999999999999994,13.533828258514404,0.25,0.35999999999999993,100,100,8,1,200
169,0.0181,0.008100000000000001,0.06,0.06,14.246315479278564,0.01,0.12,100,100,8,1,200
170,0.2358,0.054200000000000026,0.66,0.22000000000000014,13.874705791473389,0.29000000000000004,0.4399999999999999,100,100,8,1,200
171,0.2524,0.0024000000000000132,0.77,0.2500000000000001,18.835089921951294,0.25,0.5199999999999999,100,100,8,1,200
172,0.077,0.012999999999999998,0.3,0.05999999999999994,14.813294887542725,0.09,0.35999999999999993,100,100,1,1,200
173,0.1444,0.02560000000000001,0.63,0.59,14.091404676437378,0.17,0.04,100,100,16,1,200
174,0.0333,0.0167,0.28,0.16000000000000003,13.234548568725586,0.05,0.12,100,100,4,1,200
175,0.4431,0.03309999999999996,0.35000000000000003,0.009999999999999898,16.75838303565979,0.41000000000000003,0.35999999999999993,100,100,8,1,200
176,0.1169,0.026900000000000007,0.01,0.59,8.886845827102661,0.09,0.6,100,100,1,1,200
177,0.38220000000000004,0.012200000000000044,0.31,0.2099999999999999,12.67949891090393,0.37,0.5199999999999999,100,100,8,1,200
178,0.251,0.0010000000000000009,0.26,0.6599999999999999,14.934937953948975,0.25,0.9199999999999999,100,100,4,1,200
179,0.3922,0.022199999999999998,0.58,0.33999999999999997,15.70557713508606,0.37,0.9199999999999999,100,100,4,1,200
180,0.14150000000000001,0.028499999999999998,0.49,0.18999999999999995,15.29262375831604,0.17,0.6799999999999999,100,100,16,1,200
