N,T,edge_per_t,evidences_per_t,calibration_batches,epsilon_msm,real_epsilon,time_calibration,distance_epsilon
100,64,16,8,100,0.25798000000000004,0.28022732314914256,6.434601306915283,0.022247323149142517
100,64,16,8,200,0.26054,0.28022732314914256,13.062968969345093,0.019687323149142566
100,64,16,8,400,0.25227,0.28022732314914256,25.705052614212036,0.027957323149142566
100,64,16,8,800,0.25169,0.28022732314914256,69.9345350265503,0.028537323149142535
100,64,16,8,50,0.00286,0.0342619918311865,4.4551591873168945,0.0314019918311865
100,64,16,8,100,0.0013000000000000002,0.0342619918311865,6.125129699707031,0.0329619918311865
100,64,16,8,200,0.0015300000000000001,0.0342619918311865,14.590687990188599,0.0327319918311865
100,64,16,8,400,0.00039000000000000005,0.0342619918311865,46.17185425758362,0.0338719918311865
100,64,16,8,800,0.00124,0.0342619918311865,47.35897159576416,0.0330219918311865
100,64,16,8,50,0.23778000000000002,0.1019016565118478,2.959986925125122,0.13587834348815223
100,64,16,8,100,0.18291000000000002,0.1019016565118478,5.913268089294434,0.08100834348815222
100,64,16,8,200,0.18299,0.1019016565118478,11.795017719268799,0.08108834348815222
100,64,16,8,400,0.18391000000000002,0.1019016565118478,23.567594528198242,0.08200834348815222
100,64,16,8,800,0.18335,0.1019016565118478,54.00775146484375,0.08144834348815222
100,64,16,8,50,0.39722,0.3624076779603899,3.259397268295288,0.0348123220396101
100,64,16,8,100,0.3909,0.3624076779603899,6.512963533401489,0.028492322039610107
100,64,16,8,200,0.40909,0.3624076779603899,11.940924882888794,0.04668232203961009
100,64,16,8,400,0.39075000000000004,0.3624076779603899,23.661085605621338,0.028342322039610124
100,64,16,8,800,0.39060000000000006,0.3624076779603899,49.937068700790405,0.02819232203961014
100,64,16,8,50,0.08865,0.1456604671651371,3.1575045585632324,0.05701046716513708
100,64,16,8,100,0.17252,0.1456604671651371,6.133352994918823,0.02685953283486292
100,64,16,8,200,0.08124,0.1456604671651371,11.944231748580933,0.06442046716513708
100,64,16,8,400,0.06248000000000001,0.1456604671651371,44.18763780593872,0.08318046716513708
100,64,16,8,800,0.06266000000000001,0.1456604671651371,128.40766382217407,0.08300046716513708
100,64,16,8,50,0.015560000000000001,0.09849221822749987,3.137007474899292,0.08293221822749987
100,64,16,8,100,0.018410000000000003,0.09849221822749987,10.380363941192627,0.08008221822749986
100,64,16,8,200,0.01846,0.09849221822749987,37.8919837474823,0.08003221822749987
100,64,16,8,400,0.020100000000000003,0.09849221822749987,76.96290826797485,0.07839221822749987
100,64,16,8,800,0.01788,0.09849221822749987,48.541006565093994,0.08061221822749987
100,64,16,8,50,0.41856000000000004,0.3708371370982564,3.994640588760376,0.04772286290174366
100,64,16,8,100,0.42146000000000006,0.3708371370982564,8.29850459098816,0.05062286290174367
100,64,16,8,200,0.42265,0.3708371370982564,12.586156845092773,0.05181286290174364
100,64,16,8,400,0.4082,0.3708371370982564,23.676775455474854,0.03736286290174362
100,64,16,8,800,0.42252000000000006,0.3708371370982564,47.5264253616333,0.051682862901743676
100,64,16,8,50,0.40747000000000005,0.41026559516035915,3.2061774730682373,0.002795595160359099
100,64,16,8,100,0.40115,0.41026559516035915,6.29317045211792,0.009115595160359147
100,64,16,8,200,0.40244,0.41026559516035915,12.614650249481201,0.007825595160359133
100,64,16,8,400,0.40530000000000005,0.41026559516035915,49.77594494819641,0.004965595160359104
100,64,16,8,800,0.40398,0.41026559516035915,69.94293570518494,0.0062855951603591476
100,64,16,8,50,0.34286000000000005,0.24609882281565076,2.9525842666625977,0.09676117718434929
100,64,16,8,100,0.33623000000000003,0.24609882281565076,5.905542373657227,0.09013117718434926
100,64,16,8,200,0.33754,0.24609882281565076,11.808069229125977,0.09144117718434924
100,64,16,8,400,0.33853000000000005,0.24609882281565076,23.703911304473877,0.09243117718434929
100,64,16,8,800,0.33862000000000003,0.24609882281565076,47.63353252410889,0.09252117718434927
100,64,16,8,50,0.24340000000000003,0.44813098145069463,2.9621212482452393,0.2047309814506946
100,64,16,8,100,0.24538000000000001,0.44813098145069463,5.9249207973480225,0.20275098145069462
100,64,16,8,200,0.24593,0.44813098145069463,12.446359634399414,0.20220098145069462
100,64,16,8,400,0.24581000000000003,0.44813098145069463,25.37614631652832,0.2023209814506946
100,64,16,8,800,0.24535,0.44813098145069463,101.04733872413635,0.20278098145069462
100,64,16,8,50,0.39141000000000004,0.4238359411777781,11.012675523757935,0.032425941177778084
100,64,16,8,100,0.38966,0.4238359411777781,21.65961003303528,0.03417594117777811
100,64,16,8,200,0.39920000000000005,0.4238359411777781,43.33945894241333,0.024635941177778065
100,64,16,8,400,0.39943,0.4238359411777781,74.9697778224945,0.024405941177778112
100,64,16,8,800,0.39922,0.4238359411777781,93.41255640983582,0.0246159411777781
100,64,16,8,50,0.0066500000000000005,0.002325090437117927,2.9550795555114746,0.0043249095628820735
100,64,16,8,100,0.0031200000000000004,0.002325090437117927,5.9164416790008545,0.0007949095628820733
100,64,16,8,200,0.00108,0.002325090437117927,12.487445831298828,0.001245090437117927
100,64,16,8,400,0.00352,0.002325090437117927,23.848737239837646,0.001194909562882073
100,64,16,8,800,0.0030700000000000002,0.002325090437117927,48.015013217926025,0.0007449095628820732
100,64,16,8,50,0.18194000000000002,0.05038474334407922,3.019040584564209,0.1315552566559208
100,64,16,8,100,0.18324000000000001,0.05038474334407922,6.023000955581665,0.1328552566559208
100,64,16,8,200,0.12413,0.05038474334407922,11.971541166305542,0.07374525665592079
100,64,16,8,400,0.12297000000000001,0.05038474334407922,23.96691083908081,0.07258525665592079
100,64,16,8,800,0.12286000000000001,0.05038474334407922,48.68099498748779,0.07247525665592079
100,64,16,8,50,0.19445,0.3322345941438073,3.1615586280822754,0.13778459414380728
100,64,16,8,100,0.19761,0.3322345941438073,6.29996657371521,0.13462459414380729
100,64,16,8,200,0.19590000000000002,0.3322345941438073,12.677719831466675,0.13633459414380728
100,64,16,8,400,0.19603,0.3322345941438073,25.182885885238647,0.13620459414380728
100,64,16,8,800,0.19571000000000002,0.3322345941438073,48.060847759246826,0.13652459414380727
100,64,16,8,50,0.23567000000000002,0.299229899166544,2.980975389480591,0.063559899166544
100,64,16,8,100,0.20007000000000003,0.299229899166544,5.966966867446899,0.099159899166544
100,64,16,8,200,0.20138,0.299229899166544,25.21484112739563,0.09784989916654402
100,64,16,8,400,0.20157000000000003,0.299229899166544,76.11381506919861,0.097659899166544
100,64,16,8,800,0.19898000000000002,0.299229899166544,120.92039394378662,0.100249899166544
100,64,16,8,50,0.25875000000000004,0.17827523867819517,3.1924266815185547,0.08047476132180487
100,64,16,8,100,0.26009000000000004,0.17827523867819517,6.36805534362793,0.08181476132180487
100,64,16,8,200,0.26071,0.17827523867819517,13.001895189285278,0.08243476132180483
100,64,16,8,400,0.26024,0.17827523867819517,45.971686124801636,0.08196476132180486
100,64,16,8,800,0.2599,0.17827523867819517,48.155482053756714,0.08162476132180485
100,64,16,8,50,0.040310000000000006,0.10461717829270872,2.981654644012451,0.06430717829270871
100,64,16,8,100,0.01186,0.10461717829270872,5.96472954750061,0.09275717829270873
100,64,16,8,200,0.03812,0.10461717829270872,11.968934059143066,0.06649717829270872
100,64,16,8,400,0.03934,0.10461717829270872,24.924896001815796,0.06527717829270872
100,64,16,8,800,0.04014,0.10461717829270872,49.91129183769226,0.06447717829270871
100,64,16,8,50,0.34303,0.33999777663744873,2.9993841648101807,0.0030322233625512673
100,64,16,8,100,0.33739,0.33999777663744873,6.008326768875122,0.002607776637448711
100,64,16,8,200,0.34203,0.33999777663744873,12.025163412094116,0.0020322233625512665
100,64,16,8,400,0.34377,0.33999777663744873,23.981682300567627,0.0037722233625512858
100,64,16,8,800,0.33614000000000005,0.33999777663744873,47.92562747001648,0.0038577766374486844
100,64,16,8,50,0.38795,0.44069882656803533,3.0080788135528564,0.05274882656803531
100,64,16,8,100,0.40881,0.44069882656803533,6.007920265197754,0.03188882656803532
100,64,16,8,200,0.38895,0.44069882656803533,11.988560438156128,0.05174882656803531
100,64,16,8,400,0.38937000000000005,0.44069882656803533,24.570939302444458,0.05132882656803528
100,64,16,8,800,0.38884,0.44069882656803533,53.193175315856934,0.05185882656803531
100,64,16,8,50,0.25011,0.17368943491363115,8.191906213760376,0.07642056508636885
100,64,16,8,100,0.06339,0.17368943491363115,17.586035013198853,0.11029943491363114
100,64,16,8,200,0.24363,0.17368943491363115,33.924025774002075,0.06994056508636887
100,64,16,8,400,0.19856000000000001,0.17368943491363115,56.807331800460815,0.024870565086368868
100,64,16,8,800,0.19833,0.17368943491363115,51.77214765548706,0.02464056508636886
100,64,16,8,50,0.18333000000000002,0.16597834332926464,2.9859514236450195,0.017351656670735377
100,64,16,8,100,0.19555000000000003,0.16597834332926464,5.995584964752197,0.029571656670735386
100,64,16,8,200,0.17547000000000001,0.16597834332926464,11.907232761383057,0.009491656670735371
100,64,16,8,400,0.17581000000000002,0.16597834332926464,23.80245566368103,0.009831656670735378
100,64,16,8,800,0.17548000000000002,0.16597834332926464,47.58078479766846,0.009501656670735381
100,64,16,8,50,0.08101000000000001,0.09774855781545222,2.9754691123962402,0.016738557815452207
100,64,16,8,100,0.08761000000000001,0.09774855781545222,5.9566638469696045,0.010138557815452212
100,64,16,8,200,0.07567,0.09774855781545222,11.881693124771118,0.02207855781545222
100,64,16,8,400,0.07571,0.09774855781545222,23.749406337738037,0.02203855781545222
100,64,16,8,800,0.07597000000000001,0.09774855781545222,47.931236028671265,0.02177855781545221
100,64,16,8,50,0.28159,0.09082738838439136,3.1595325469970703,0.19076261161560865
100,64,16,8,100,0.28143,0.09082738838439136,6.3916075229644775,0.19060261161560865
100,64,16,8,200,0.28187,0.09082738838439136,13.020170211791992,0.19104261161560865
100,64,16,8,400,0.14318,0.09082738838439136,29.212992429733276,0.05235261161560864
100,64,16,8,800,0.28098,0.09082738838439136,86.75563073158264,0.19015261161560865
100,64,16,8,50,0.33189,0.29078797750769186,3.7056751251220703,0.041102022492308155
100,64,16,8,100,0.33521,0.29078797750769186,6.983557939529419,0.044422022492308144
100,64,16,8,200,0.33809,0.29078797750769186,18.478043794631958,0.04730202249230814
100,64,16,8,400,0.33829000000000004,0.29078797750769186,54.37295985221863,0.04750202249230817
100,64,16,8,800,0.33829000000000004,0.29078797750769186,47.92898607254028,0.04750202249230817
100,64,16,8,50,0.44324,0.43395989282475406,3.016164779663086,0.009280107175245966
100,64,16,8,100,0.44145,0.43395989282475406,6.017781496047974,0.0074901071752459525
100,64,16,8,200,0.44235,0.43395989282475406,11.961578607559204,0.008390107175245964
100,64,16,8,400,0.43715000000000004,0.43395989282475406,24.053691864013672,0.003190107175245982
100,64,16,8,800,0.43712,0.43395989282475406,48.16567802429199,0.003160107175245952
100,64,16,8,50,0.22305000000000003,0.20174227110117848,3.254194736480713,0.021307728898821543
100,64,16,8,100,0.22513000000000002,0.20174227110117848,6.461799621582031,0.02338772889882154
100,64,16,8,200,0.22425,0.20174227110117848,13.345937490463257,0.022507728898821522
100,64,16,8,400,0.22423,0.20174227110117848,25.700578451156616,0.02248772889882153
100,64,16,8,800,0.22419000000000003,0.20174227110117848,48.87895202636719,0.022447728898821545
100,64,16,8,50,0.14058,0.28298921692050166,3.0961177349090576,0.14240921692050165
100,64,16,8,100,0.32455,0.28298921692050166,6.041762828826904,0.04156078307949834
100,64,16,8,200,0.32398000000000005,0.28298921692050166,12.019792079925537,0.04099078307949838
100,64,16,8,400,0.32198000000000004,0.28298921692050166,24.36963415145874,0.03899078307949838
100,64,16,8,800,0.32252000000000003,0.28298921692050166,95.97740125656128,0.039530783079498366
100,64,16,8,50,0.34647000000000006,0.3466176648460898,6.6900787353515625,0.00014766484608974562
100,64,16,8,100,0.36042,0.3466176648460898,13.842788219451904,0.013802335153910217
100,64,16,8,200,0.36436,0.3466176648460898,12.45254135131836,0.017742335153910216
100,64,16,8,400,0.36475,0.3466176648460898,25.569859266281128,0.018132335153910217
100,64,16,8,800,0.35423000000000004,0.3466176648460898,50.013060331344604,0.0076123351539102435
100,64,16,8,50,0.35748,0.32858386694247377,6.361947059631348,0.028896133057526252
100,64,16,8,100,0.3139,0.32858386694247377,17.313282251358032,0.014683866942473756
100,64,16,8,200,0.35690000000000005,0.32858386694247377,35.1076397895813,0.028316133057526283
