N,T,edge_per_t,evidences_per_t,optimizer_name,lr,model_name,epsilon_estimated,time,num_epochs,X0_mse,real_epsilon,mu,rho,distance_epsilon
100,20,16,5,adagrad,0.0001,BC_with_evidence,0.24949702945714955,5.94308614730835,201,0.17471039295196533,0.33367421747465714,0.4903787362789922,15,0.08417718801750759
100,20,16,5,adagrad,0.0001,BC_observed_positive,0.2505034250784933,0.5711464881896973,201,,0.33367421747465714,0.4903787362789922,15,0.08317079239616382
100,20,16,5,adagrad,0.0005,simple_BC,0.25251313494798566,0.07057547569274902,201,,0.33367421747465714,0.4903787362789922,15,0.08116108252667148
100,20,16,5,adagrad,0.0005,BC_with_evidence,0.24748793582288328,6.546858310699463,201,0.20132321119308472,0.33367421747465714,0.4903787362789922,15,0.08618628165177386
100,20,16,5,adagrad,0.0005,BC_observed_positive,0.2525076202063344,0.5153872966766357,201,,0.33367421747465714,0.4903787362789922,15,0.08116659726832276
100,20,16,5,adagrad,0.001,simple_BC,0.25501510088428836,0.0706934928894043,201,,0.33367421747465714,0.4903787362789922,15,0.07865911659036878
100,20,16,5,adagrad,0.001,BC_with_evidence,0.2450159374989751,6.034003973007202,201,0.16928544640541077,0.33367421747465714,0.4903787362789922,15,0.08865827997568204
100,20,16,5,adagrad,0.001,BC_observed_positive,0.25498365850129473,0.5421426296234131,201,,0.33367421747465714,0.4903787362789922,15,0.07869055897336241
100,20,16,5,adagrad,0.005,simple_BC,0.2743725692583339,0.07438325881958008,201,,0.33367421747465714,0.4903787362789922,15,0.05930164821632322
100,20,16,5,adagrad,0.005,BC_with_evidence,0.2254297876971467,3.963635206222534,201,0.17855243384838104,0.33367421747465714,0.4903787362789922,15,0.10824442977751045
100,20,16,5,adagrad,0.005,BC_observed_positive,0.27428826054285,0.535876989364624,201,,0.33367421747465714,0.4903787362789922,15,0.05938595693180715
100,20,16,5,adagrad,0.01,simple_BC,0.2956037461778253,0.06994795799255371,201,,0.33367421747465714,0.4903787362789922,15,0.03807047129683183
100,20,16,5,adagrad,0.01,BC_with_evidence,0.2044518188954484,4.4163196086883545,201,0.15286760032176971,0.33367421747465714,0.4903787362789922,15,0.12922239857920875
100,20,16,5,adagrad,0.01,BC_observed_positive,0.29525352994244963,0.5521113872528076,201,,0.33367421747465714,0.4903787362789922,15,0.03842068753220751
100,20,16,5,nadam,0.0001,simple_BC,0.25366871271992547,0.08763766288757324,201,,0.33367421747465714,0.4903787362789922,15,0.08000550475473167
100,20,16,5,nadam,0.0001,BC_with_evidence,0.24630578291425853,4.98021388053894,201,0.16288405656814575,0.33367421747465714,0.4903787362789922,15,0.08736843456039861
100,20,16,5,nadam,0.0001,BC_observed_positive,0.2536467554680828,0.51877760887146,201,,0.33367421747465714,0.4903787362789922,15,0.08002746200657435
100,20,16,5,nadam,0.0005,simple_BC,0.26786051260872035,0.08276081085205078,201,,0.33367421747465714,0.4903787362789922,15,0.0658137048659368
100,20,16,5,nadam,0.0005,BC_with_evidence,0.23235464067082492,4.875437021255493,201,0.15909184515476227,0.33367421747465714,0.4903787362789922,15,0.10131957680383222
100,20,16,5,nadam,0.0005,BC_observed_positive,0.2678120255232431,0.57790207862854,201,,0.33367421747465714,0.4903787362789922,15,0.06586219195141402
100,20,16,5,nadam,0.001,simple_BC,0.28402109484333504,0.07880544662475586,201,,0.33367421747465714,0.4903787362789922,15,0.0496531226313221
100,20,16,5,nadam,0.001,BC_with_evidence,0.20761939733690982,7.20134973526001,201,0.1797722429037094,0.33367421747465714,0.4903787362789922,15,0.12605482013774733
100,20,16,5,nadam,0.001,BC_observed_positive,0.28375216332455333,0.5473284721374512,201,,0.33367421747465714,0.4903787362789922,15,0.04992205415010381
100,20,16,5,nadam,0.005,simple_BC,0.3280227812523537,0.08318448066711426,201,,0.33367421747465714,0.4903787362789922,15,0.005651436222303463
100,20,16,5,nadam,0.005,BC_with_evidence,0.16892802077333907,6.190989971160889,201,0.11778835207223892,0.33367421747465714,0.4903787362789922,15,0.16474619670131807
