,real_epsilon,epsilon0,epsilon_torch,epsilon_scipy,mu,rho,N,T,edge_per_t,epochs,time,distance_torch_real,distance_scipy_real
49,0.5050051663611059,0.48794233948922217,0.5637319693562964,0.5612251710251315,0.7173961295327131,10,630,398,5,46,0.017043113708496094,0.05872680299519051,0.05622000466402555
50,0.03265333958045402,0.7164235301262063,0.24483862064493306,0.0,0.35467596878969576,10,630,1584,5,248,0.1292581558227539,0.21218528106447904,0.03265333958045402
51,0.8690538076621852,0.5236529429876486,0.7055654143446012,1.0,0.4849112835698235,10,630,6309,5,112,0.11658930778503418,0.16348839331758402,0.1309461923378148
52,0.12524782891414443,0.7266381335120548,0.2891780063415115,0.1318375306714877,0.09937534439464046,10,630,25118,5,229,0.3831636905670166,0.16393017742736704,0.006589701757343275
53,0.5286380261302249,0.9282411193483193,0.9212747377326227,0.7894888069491455,0.8276274895754794,10,630,100000,5,11,0.033795833587646484,0.39263671160239777,0.26085078081892055
54,0.6492207639861787,0.7583647930316155,0.7325190329162454,0.7369334086531358,0.5726173657623049,10,1584,100,5,26,0.007552146911621094,0.08329826893006675,0.08771264466695716
55,0.7196418468878832,0.2774010107878826,0.626275180944694,0.8093838549476102,0.8904322557277315,10,1584,398,5,203,0.07049822807312012,0.09336666594318921,0.08974200805972699
56,0.9352976182963628,0.24684399694561687,0.5835745451878275,1.0,0.19388029210392166,10,1584,1584,5,210,0.10777735710144043,0.35172307310853534,0.06470238170363718
57,0.8525700269011333,0.5675739528390898,0.7380045544793047,1.0,0.7539731300798825,10,1584,6309,5,106,0.1113433837890625,0.11456547242182857,0.14742997309886674
58,0.19806596377091656,0.5228937939374338,0.3024262668182883,0.21586273356976665,0.7422957843832214,10,1584,25118,5,126,0.21216988563537598,0.10436030304737176,0.017796769798850087
59,0.37989014799437393,0.4669476566369618,0.5378103692024697,0.5346112556475513,0.08601044856212603,10,1584,100000,5,44,0.1351604461669922,0.1579202212080958,0.15472110765317737
60,0.49767108420400075,0.34291117014482475,0.4940023129707041,0.5135821053158591,0.3384166727178014,10,3981,100,5,88,0.02986598014831543,0.0036687712332966194,0.01591102111185838
61,0.9788174977745748,0.6326667926518975,0.7896502993012385,1.0,0.5186518319157709,10,3981,398,5,101,0.04313993453979492,0.1891671984733363,0.02118250222542517
62,0.7670082622607268,0.8372746542026139,0.867684284690051,0.8781325296787493,0.9251837031553463,10,3981,1584,5,29,0.020610570907592773,0.10067602242932416,0.1111242674180225
63,0.25457302438003093,0.7615043916136454,0.35194677331227076,0.2702005322550295,0.2057137517197909,10,3981,6309,5,218,0.26219725608825684,0.09737374893223982,0.01562750787499856
64,0.3388138682375773,0.06931761458214059,0.0760641660986969,0.42234989758808955,0.6176495464266784,10,3981,25118,5,11,0.01825261116027832,0.2627497021388804,0.08353602935051224
65,0.03033469198342198,0.8263781067122932,0.24548279239484297,0.0,0.25339375069120296,10,3981,100000,5,297,0.9787139892578125,0.215148100411421,0.03033469198342198
