,epsilon,real_epsilon,time,sum_ab,calibration_batches,ensemble_size,mu,T,edge_per_t,evidences_per_t,distance_epsilon
253,0.274,0.15,4.693547487258911,1.0,25,2,0.65,100,4,32,0.12400000000000003
254,0.19,0.15,6.990242004394531,1.0,25,4,0.35,100,2,4,0.04000000000000001
255,0.09090000000000001,0.25,3.5527565479278564,0.01,50,1,0.05,100,2,4,0.1591
256,0.3443,0.15,5.991714239120483,10.0,50,2,0.65,100,4,1,0.1943
257,0.2278,0.15,10.575517654418945,0.1,50,4,0.75,100,4,16,0.07780000000000001
258,0.0756,0.15,5.5274412631988525,10.0,100,1,0.85,100,8,1,0.0744
259,0.012100000000000001,0.25,13.261013746261597,0.1,100,2,0.95,100,16,16,0.2379
260,0.45520000000000005,0.25,28.764459371566772,10.0,100,4,0.05,100,8,4,0.20520000000000005
261,0.3618,0.35,4.405516147613525,10.0,25,1,0.65,200,2,1,0.011800000000000033
262,0.3425,0.35,6.051805257797241,1.0,25,2,0.55,200,8,32,0.007499999999999951
263,0.0334,0.05,10.130385398864746,0.01,25,4,0.35,200,2,1,0.016600000000000004
264,0.0166,0.05,5.147741317749023,0.01,50,1,0.55,200,8,16,0.0334
265,0.4722,0.45,10.737588167190552,10.0,50,2,0.25,200,1,1,0.022199999999999998
266,0.369,0.45,23.890470027923584,10.0,50,4,0.95,200,16,4,0.08100000000000002
267,0.17950000000000002,0.05,13.640249013900757,10.0,100,1,0.95,200,4,16,0.1295
268,0.0661,0.05,27.06708288192749,0.01,100,2,0.85,200,16,32,0.016100000000000003
269,0.013900000000000001,0.05,48.717901945114136,10.0,100,4,0.05,200,8,4,0.0361
270,0.1917,0.15,1.3065712451934814,0.1,25,1,0.95,50,1,4,0.041700000000000015
271,0.4305,0.35,2.3316380977630615,10.0,25,2,0.25,50,4,16,0.08050000000000002
272,0.4844,0.35,3.729792833328247,0.1,25,4,0.65,50,8,1,0.13440000000000002
273,0.49200000000000005,0.25,2.476813554763794,0.1,50,1,0.25,50,8,4,0.24200000000000005
274,0.27490000000000003,0.25,3.759338617324829,0.1,50,2,0.75,50,2,1,0.024900000000000033
275,0.2896,0.45,8.146514892578125,10.0,50,4,0.25,50,8,32,0.1604
276,0.1034,0.25,5.589117050170898,0.01,100,1,0.55,50,16,1,0.1466
277,0.11470000000000001,0.25,7.756296873092651,0.01,100,2,0.05,50,2,16,0.13529999999999998
278,0.2252,0.25,16.304015159606934,10.0,100,4,0.15,50,1,32,0.02479999999999999
279,0.167,0.15,1.377464771270752,0.01,25,1,0.55,100,16,1,0.017000000000000015
280,0.2141,0.05,3.3262336254119873,0.01,25,2,0.45,100,16,32,0.16410000000000002
281,0.0344,0.05,6.093247652053833,0.1,25,4,0.95,100,4,4,0.015600000000000003
282,0.49010000000000004,0.45,3.8407533168792725,1.0,50,1,0.75,100,16,4,0.040100000000000025
283,0.032100000000000004,0.05,7.863828659057617,0.01,50,2,0.95,100,8,4,0.0179
284,0.4746,0.45,15.273329973220825,1.0,50,4,0.15,100,1,32,0.02460000000000001
285,0.41150000000000003,0.45,7.742847919464111,10.0,100,1,0.55,100,1,4,0.03849999999999998
286,0.4434,0.35,12.806978940963745,1.0,100,2,0.75,100,8,16,0.09340000000000004
287,0.1665,0.15,30.104941606521606,0.1,100,4,0.25,100,1,1,0.016500000000000015
