,epsilon,distance_epsilon,mu,distance_mu,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
135,0.2315,0.0615,0.08,0.4399999999999999,1.0,10,28.487898349761963,0.17,0.5199999999999999,100,100,1,1,200
136,0.2212,0.011199999999999988,0.78,0.4200000000000001,0.1,5,37.55871105194092,0.21000000000000002,0.35999999999999993,100,100,1,1,200
137,0.3652,0.07519999999999999,0.55,0.030000000000000138,0.1,40,36.67139196395874,0.29000000000000004,0.5199999999999999,100,100,4,1,200
138,0.131,0.0010000000000000009,0.89,0.13000000000000012,10.0,40,37.17777919769287,0.13,0.7599999999999999,100,100,8,1,200
139,0.038900000000000004,0.0911,0.66,0.06000000000000005,10.0,5,43.0478572845459,0.13,0.6,100,100,4,1,200
140,0.2933,0.043300000000000005,0.87,0.04999999999999993,1.0,10,41.763787269592285,0.25,0.9199999999999999,100,100,4,1,200
141,0.2916,0.07839999999999997,0.8300000000000001,0.07000000000000017,1.0,20,40.20931029319763,0.37,0.7599999999999999,100,100,4,1,200
142,0.33680000000000004,0.03319999999999995,0.47000000000000003,0.2099999999999999,10.0,20,42.77861833572388,0.37,0.6799999999999999,100,100,4,1,200
143,0.0727,0.022699999999999998,0.56,0.12000000000000016,0.1,40,35.473148822784424,0.05,0.4399999999999999,100,100,4,1,200
144,0.23600000000000002,0.066,0.24,0.19999999999999998,1.0,5,41.01849365234375,0.17,0.04,100,100,8,1,200
145,0.0189,0.031100000000000003,0.51,0.2499999999999999,10.0,10,32.81099081039429,0.05,0.7599999999999999,100,100,1,1,200
146,0.49300000000000005,0.04300000000000004,0.5700000000000001,0.45000000000000007,10.0,5,39.934632301330566,0.45,0.12,100,100,4,1,200
147,0.020900000000000002,0.0691,0.27,0.5699999999999998,0.1,40,41.88908243179321,0.09,0.8399999999999999,100,100,16,1,200
148,0.4802,0.07019999999999998,0.09,0.03,10.0,20,39.90841794013977,0.41000000000000003,0.12,100,100,8,1,200
149,0.0024000000000000002,0.0076,0.38,0.05999999999999989,0.1,40,45.37105751037598,0.01,0.4399999999999999,100,100,16,1,200
150,0.4516,0.0015999999999999903,0.27,0.16999999999999987,0.1,20,36.474878787994385,0.45,0.4399999999999999,100,100,8,1,200
151,0.22560000000000002,0.09560000000000002,0.15,0.3699999999999999,1.0,10,42.859070777893066,0.13,0.5199999999999999,100,100,4,1,200
152,0.40990000000000004,0.1199,0.0,0.7599999999999999,10.0,40,38.54586410522461,0.29000000000000004,0.7599999999999999,100,100,8,1,200
153,0.12040000000000001,0.1296,0.42,0.3399999999999999,0.1,5,38.19337773323059,0.25,0.7599999999999999,100,100,8,1,200
154,0.1085,0.018500000000000003,0.07,0.4499999999999999,1.0,40,40.899378538131714,0.09,0.5199999999999999,100,100,4,1,200
155,0.1547,0.0247,0.77,0.01000000000000012,1.0,40,47.58655500411987,0.13,0.7599999999999999,100,100,4,1,200
156,0.49770000000000003,0.16770000000000002,0.44,0.15999999999999998,10.0,40,34.8536479473114,0.33,0.6,100,100,1,1,200
157,0.108,0.022000000000000006,0.28,0.0799999999999999,10.0,20,40.68184518814087,0.13,0.35999999999999993,100,100,4,1,200
158,0.39940000000000003,0.1094,0.54,0.21999999999999986,10.0,10,44.064491748809814,0.29000000000000004,0.7599999999999999,100,100,8,1,200
159,0.227,0.022999999999999993,0.44,0.4,10.0,10,33.939443588256836,0.25,0.04,100,100,1,1,200
160,0.3624,0.007599999999999996,0.23,0.19,0.1,20,39.77968668937683,0.37,0.04,100,100,8,1,200
161,0.3805,0.01050000000000001,0.33,0.29000000000000004,1.0,5,35.31318545341492,0.37,0.04,100,100,1,1,200
162,0.3437,0.05369999999999997,0.01,0.6699999999999999,1.0,10,42.73803663253784,0.29000000000000004,0.6799999999999999,100,100,16,1,200
163,0.136,0.07400000000000001,0.74,0.54,0.1,10,30.86652374267578,0.21000000000000002,0.19999999999999998,100,100,1,1,200
164,0.1019,0.10810000000000002,0.91,0.47000000000000014,10.0,5,40.132975339889526,0.21000000000000002,0.4399999999999999,100,100,4,1,200
165,0.1076,0.06240000000000001,0.54,0.1399999999999999,1.0,5,41.40010857582092,0.17,0.6799999999999999,100,100,8,1,200
166,0.0455,0.0445,0.42,0.25999999999999995,0.1,20,45.42622399330139,0.09,0.6799999999999999,100,100,4,1,200
167,0.0378,0.052199999999999996,0.17,0.2699999999999999,0.1,20,35.57569408416748,0.09,0.4399999999999999,100,100,8,1,200
168,0.3277,0.07769999999999999,0.06,0.29999999999999993,1.0,5,43.57268404960632,0.25,0.35999999999999993,100,100,8,1,200
169,0.0322,0.022199999999999998,0.81,0.6900000000000001,10.0,40,37.66956901550293,0.01,0.12,100,100,8,1,200
