N,evidences_per_t,edge_per_t,T,epsilon_estimated,time,num_epochs,real_epsilon,mu,rho,distance_epsilon,early_stopping
100,8,64,32,0.16064365353401072,0.7230195999145508,201,0.16094117349905074,0.2300361546831569,16,0.0002975199650400162,201
100,8,64,64,0.16834111675868374,1.3387229442596436,201,0.16094117349905074,0.2300361546831569,16,0.007399943259633002,201
100,8,64,128,0.16340206850482536,2.626812696456909,201,0.16094117349905074,0.2300361546831569,16,0.0024608950057746215,201
100,8,64,256,0.16223294692948895,5.860459327697754,201,0.16094117349905074,0.2300361546831569,16,0.001291773430438209,201
100,8,1,16,0.22654671310452143,0.39222049713134766,201,0.16433511236680992,0.1100002054095729,16,0.06221160073771151,201
100,8,1,32,0.1831369733342275,0.7491004467010498,201,0.16433511236680992,0.1100002054095729,16,0.018801860967417566,201
100,8,1,64,0.13493822202520583,1.33426833152771,201,0.16433511236680992,0.1100002054095729,16,0.029396890341604087,201
100,8,1,128,0.15951705724230392,2.536815643310547,201,0.16433511236680992,0.1100002054095729,16,0.004818055124506004,201
100,8,1,256,0.15216029168680925,5.847925424575806,201,0.16433511236680992,0.1100002054095729,16,0.01217482068000067,201
100,8,4,16,0.12332388105083551,0.4157898426055908,201,0.16433511236680992,0.1100002054095729,16,0.04101123131597441,201
100,8,4,32,0.14563613767184003,0.7396161556243896,201,0.16433511236680992,0.1100002054095729,16,0.018698974694969894,201
100,8,4,64,0.16602639063163485,1.352799892425537,201,0.16433511236680992,0.1100002054095729,16,0.0016912782648249303,201
100,8,4,128,0.17144272738449692,2.5783681869506836,201,0.16433511236680992,0.1100002054095729,16,0.007107615017687002,201
100,8,4,256,0.15613248479557437,5.859346866607666,201,0.16433511236680992,0.1100002054095729,16,0.008202627571235549,201
100,8,16,16,0.16393361185086078,0.39690136909484863,201,0.16433511236680992,0.1100002054095729,16,0.0004015005159491436,201
100,8,16,32,0.15013432996704407,0.7511112689971924,201,0.16433511236680992,0.1100002054095729,16,0.014200782399765854,201
100,8,16,64,0.16349542046541238,1.3769714832305908,201,0.16433511236680992,0.1100002054095729,16,0.0008396919013975435,201
100,8,16,128,0.1561872861839445,2.5753777027130127,201,0.16433511236680992,0.1100002054095729,16,0.008147826182865414,201
100,8,16,256,0.16353792884817503,5.839518785476685,201,0.16433511236680992,0.1100002054095729,16,0.0007971835186348919,201
100,8,64,16,0.1496095598229038,0.4084653854370117,201,0.16433511236680992,0.1100002054095729,16,0.014725552543906117,201
100,8,64,32,0.16806000976970206,0.7073788642883301,201,0.16433511236680992,0.1100002054095729,16,0.003724897402892141,201
100,8,64,64,0.161517474780841,1.376236915588379,201,0.16433511236680992,0.1100002054095729,16,0.002817637585968924,201
100,8,64,128,0.1611522707763398,2.589672088623047,201,0.16433511236680992,0.1100002054095729,16,0.003182841590470109,201
100,8,64,256,0.16533553637374282,5.949055433273315,201,0.16433511236680992,0.1100002054095729,16,0.0010004240069328985,201
100,8,1,16,0.3235490212872477,0.41570472717285156,201,0.21884171328691016,0.04118460175776634,16,0.10470730800033756,201
100,8,1,32,0.23859859134928751,0.741217851638794,201,0.21884171328691016,0.04118460175776634,16,0.01975687806237736,201
100,8,1,64,0.19671399456624417,1.3703432083129883,201,0.21884171328691016,0.04118460175776634,16,0.02212771872066599,201
100,8,1,128,0.20068587241070132,2.5971641540527344,201,0.21884171328691016,0.04118460175776634,16,0.018155840876208834,201
100,8,1,256,0.2185535935152866,5.848190784454346,201,0.21884171328691016,0.04118460175776634,16,0.0002881197716235462,201
100,8,4,16,0.14360453920313807,0.3906404972076416,201,0.21884171328691016,0.04118460175776634,16,0.07523717408377209,201
100,8,4,32,0.19946670335660824,0.7103128433227539,201,0.21884171328691016,0.04118460175776634,16,0.019375009930301917,201
100,8,4,64,0.2135316332862888,1.3379149436950684,201,0.21884171328691016,0.04118460175776634,16,0.005310080000621359,201
100,8,4,128,0.2140602535118186,2.5295491218566895,201,0.21884171328691016,0.04118460175776634,16,0.004781459775091562,201
100,8,4,256,0.2171525453712965,5.838286876678467,201,0.21884171328691016,0.04118460175776634,16,0.0016891679156136596,201
100,8,16,16,0.20760253737193127,0.40139055252075195,201,0.21884171328691016,0.04118460175776634,16,0.011239175914978888,201
100,8,16,32,0.20276018430278897,0.7391054630279541,201,0.21884171328691016,0.04118460175776634,16,0.016081528984121185,201
