N,T,edge_per_t,evidences_per_t,optimizer_name,num_epochs,lr,model_name,minibatch_size,epsilon_estimated,time,real_epsilon,mu,rho,distance_epsilon,X0_r2,early_stopping,max_epochs
100,64,16,8,adam,401,0.05,BC_observed_positive,16,0.08946054983749643,2.784381866455078,0.0797605053747168,0.2816593051486279,16,0.009700044462779639,,401,401
100,64,16,8,adam,401,0.05,BC_observed_positive,32,0.0888353722136527,2.8478164672851562,0.0797605053747168,0.2816593051486279,16,0.009074866838935908,,401,401
100,64,16,8,adam,197,0.1,simple_BC,0,0.08089669565037426,0.07867646217346191,0.0797605053747168,0.2816593051486279,16,0.0011361902756574643,,197,401
100,64,16,8,adam,401,0.1,simple_BC,16,0.09129528037088712,0.1819288730621338,0.0797605053747168,0.2816593051486279,16,0.011534774996170324,,401,401
100,64,16,8,adam,401,0.1,simple_BC,32,0.07038595341781868,0.182084321975708,0.0797605053747168,0.2816593051486279,16,0.009374551956898111,,401,401
100,64,16,8,adam,355,0.1,BC_with_evidence,0,0.04214626053172877,25.96886968612671,0.0797605053747168,0.2816593051486279,16,0.037614244842988025,-0.2980536222457886,355,401
100,64,16,8,adam,401,0.1,BC_with_evidence,16,0.09001073036409867,30.060906410217285,0.0797605053747168,0.2816593051486279,16,0.01025022498938187,-0.28007614612579346,401,401
100,64,16,8,adam,401,0.1,BC_with_evidence,32,0.11504084938310041,30.714839458465576,0.0797605053747168,0.2816593051486279,16,0.03528034400838362,-0.1533137559890747,401,401
100,64,16,8,adam,401,0.1,BC_observed_positive,0,0.08471677943601566,2.723978042602539,0.0797605053747168,0.2816593051486279,16,0.004956274061298865,,401,401
100,64,16,8,adam,401,0.1,BC_observed_positive,16,0.08690769710467997,2.7762856483459473,0.0797605053747168,0.2816593051486279,16,0.00714719172996317,,401,401
100,64,16,8,adam,401,0.1,BC_observed_positive,32,0.08264773898067328,2.7902684211730957,0.0797605053747168,0.2816593051486279,16,0.0028872336059564824,,401,401
100,64,16,8,adam,801,0.0001,simple_BC,0,0.23568839228531263,0.33615994453430176,0.0797605053747168,0.2816593051486279,16,0.15592788691059584,,801,801
100,64,16,8,adam,801,0.0001,simple_BC,16,0.236409469454352,0.3563666343688965,0.0797605053747168,0.2816593051486279,16,0.15664896407963522,,801,801
100,64,16,8,adam,801,0.0001,simple_BC,32,0.2358085040884311,0.349717378616333,0.0797605053747168,0.2816593051486279,16,0.1560479987137143,,801,801
100,64,16,8,adam,801,0.0001,BC_with_evidence,0,0.2357244680197885,65.9487361907959,0.0797605053747168,0.2816593051486279,16,0.1559639626450717,-1.3592686653137207,801,801
100,64,16,8,adam,801,0.0001,BC_with_evidence,16,0.23688576783279613,66.32880997657776,0.0797605053747168,0.2816593051486279,16,0.15712526245807934,-1.5020835399627686,801,801
100,64,16,8,adam,801,0.0001,BC_with_evidence,32,0.23590759030144132,68.72604036331177,0.0797605053747168,0.2816593051486279,16,0.15614708492672452,-1.2582461833953857,801,801
100,64,16,8,adam,801,0.0001,BC_observed_positive,0,0.23560710161177884,5.37093448638916,0.0797605053747168,0.2816593051486279,16,0.15584659623706204,,801,801
100,64,16,8,adam,801,0.0001,BC_observed_positive,16,0.2356245200853814,5.544729471206665,0.0797605053747168,0.2816593051486279,16,0.1558640147106646,,801,801
100,64,16,8,adam,801,0.0001,BC_observed_positive,32,0.2356144211808411,5.64641809463501,0.0797605053747168,0.2816593051486279,16,0.15585391580612432,,801,801
100,64,16,8,adam,801,0.0005,simple_BC,0,0.19060428059864565,0.32208800315856934,0.0797605053747168,0.2816593051486279,16,0.11084377522392885,,801,801
100,64,16,8,adam,801,0.0005,simple_BC,16,0.19331275253260616,0.36366701126098633,0.0797605053747168,0.2816593051486279,16,0.11355224715788936,,801,801
100,64,16,8,adam,801,0.0005,simple_BC,32,0.1912036777976766,0.355130672454834,0.0797605053747168,0.2816593051486279,16,0.11144317242295981,,801,801
100,64,16,8,adam,801,0.0005,BC_with_evidence,0,0.19101402145909346,66.7885012626648,0.0797605053747168,0.2816593051486279,16,0.11125351608437667,-1.5118987560272217,801,801
100,64,16,8,adam,801,0.0005,BC_with_evidence,16,0.1955871640563471,66.66512703895569,0.0797605053747168,0.2816593051486279,16,0.1158266586816303,-0.9779437780380249,801,801
100,64,16,8,adam,801,0.0005,BC_with_evidence,32,0.19549572271606405,67.13729190826416,0.0797605053747168,0.2816593051486279,16,0.11573521734134726,-1.0715625286102295,801,801
100,64,16,8,adam,801,0.0005,BC_observed_positive,0,0.18923253595466852,5.414406776428223,0.0797605053747168,0.2816593051486279,16,0.10947203057995172,,801,801
100,64,16,8,adam,801,0.0005,BC_observed_positive,16,0.18943975802082977,5.559920310974121,0.0797605053747168,0.2816593051486279,16,0.10967925264611297,,801,801
100,64,16,8,adam,801,0.0005,BC_observed_positive,32,0.18918282158052413,5.644466400146484,0.0797605053747168,0.2816593051486279,16,0.10942231620580734,,801,801
100,64,16,8,adam,801,0.001,simple_BC,0,0.15437740821446436,0.3336308002471924,0.0797605053747168,0.2816593051486279,16,0.07461690283974756,,801,801
100,64,16,8,adam,801,0.001,simple_BC,16,0.15848421965274595,0.3524200916290283,0.0797605053747168,0.2816593051486279,16,0.07872371427802916,,801,801
100,64,16,8,adam,801,0.001,simple_BC,32,0.15641001289890683,0.3555901050567627,0.0797605053747168,0.2816593051486279,16,0.07664950752419003,,801,801
