N,T,edge_per_t,evidences_per_t,optimizer_name,lr,model_name,minibatch_size,epsilon_estimated,time,num_epochs,X0_r2,real_epsilon,mu,rho,distance_epsilon
100,64,16,8,nadam,0.005,BC_with_evidence,32,0.17963833304918267,60.9915132522583,801,-0.6248630285263062,0.27937964383820185,0.0819367168762507,16,0.09974131078901918
100,64,16,8,nadam,0.005,BC_with_evidence,64,0.14835467095787194,69.13834738731384,801,-0.5350252389907837,0.27937964383820185,0.0819367168762507,16,0.1310249728803299
100,64,16,8,nadam,0.005,BC_observed_positive,0,0.2867886751165898,5.519143581390381,801,,0.27937964383820185,0.0819367168762507,16,0.007409031278387934
100,64,16,8,nadam,0.005,BC_observed_positive,16,0.28666699110672206,5.474104404449463,801,,0.27937964383820185,0.0819367168762507,16,0.007287347268520206
100,64,16,8,nadam,0.005,BC_observed_positive,32,0.2877397674353335,5.496814966201782,801,,0.27937964383820185,0.0819367168762507,16,0.008360123597131675
100,64,16,8,nadam,0.005,BC_observed_positive,64,0.28564501467969056,5.451629400253296,801,,0.27937964383820185,0.0819367168762507,16,0.006265370841488704
100,64,16,8,nadam,0.01,simple_BC,0,0.2822610257283465,0.031310319900512695,87,,0.27937964383820185,0.0819367168762507,16,0.002881381890144641
100,64,16,8,nadam,0.01,simple_BC,16,0.2822610257283465,0.039403438568115234,87,,0.27937964383820185,0.0819367168762507,16,0.002881381890144641
100,64,16,8,nadam,0.01,simple_BC,32,0.2822610257283465,0.03839254379272461,87,,0.27937964383820185,0.0819367168762507,16,0.002881381890144641
100,64,16,8,nadam,0.01,simple_BC,64,0.2822610257283465,0.031101703643798828,87,,0.27937964383820185,0.0819367168762507,16,0.002881381890144641
100,64,16,8,nadam,0.01,BC_with_evidence,0,0.2019915535132833,57.281229972839355,801,0.46078211069107056,0.27937964383820185,0.0819367168762507,16,0.07738809032491856
100,64,16,8,nadam,0.01,BC_with_evidence,16,0.1575725529140586,69.82997536659241,801,-0.302048921585083,0.27937964383820185,0.0819367168762507,16,0.12180709092414324
100,64,16,8,nadam,0.01,BC_with_evidence,32,0.15725796911911455,59.329140424728394,801,-0.3765580654144287,0.27937964383820185,0.0819367168762507,16,0.1221216747190873
100,64,16,8,nadam,0.01,BC_with_evidence,64,0.15736767489796133,70.81656408309937,801,-0.20330190658569336,0.27937964383820185,0.0819367168762507,16,0.12201196894024052
100,64,16,8,nadam,0.01,BC_observed_positive,0,0.287325087095795,5.5248870849609375,801,,0.27937964383820185,0.0819367168762507,16,0.007945443257593165
100,64,16,8,nadam,0.01,BC_observed_positive,16,0.2868664295914862,5.491275787353516,801,,0.27937964383820185,0.0819367168762507,16,0.007486785753284375
100,64,16,8,nadam,0.01,BC_observed_positive,32,0.28518367063034283,5.490299701690674,801,,0.27937964383820185,0.0819367168762507,16,0.005804026792140982
100,64,16,8,nadam,0.01,BC_observed_positive,64,0.28663664183843957,5.503970623016357,801,,0.27937964383820185,0.0819367168762507,16,0.007256998000237713
100,64,16,8,nadam,0.05,simple_BC,0,0.2822733525036332,0.02451467514038086,50,,0.27937964383820185,0.0819367168762507,16,0.0028937086654313715
100,64,16,8,nadam,0.05,simple_BC,16,0.2822733525036332,0.022398710250854492,50,,0.27937964383820185,0.0819367168762507,16,0.0028937086654313715
100,64,16,8,nadam,0.05,simple_BC,32,0.2822733525036332,0.017699480056762695,50,,0.27937964383820185,0.0819367168762507,16,0.0028937086654313715
100,64,16,8,nadam,0.05,simple_BC,64,0.2822733525036332,0.02051687240600586,50,,0.27937964383820185,0.0819367168762507,16,0.0028937086654313715
100,64,16,8,nadam,0.05,BC_with_evidence,0,0.22052801951680326,59.26080012321472,801,0.4810746908187866,0.27937964383820185,0.0819367168762507,16,0.05885162432139859
100,64,16,8,nadam,0.05,BC_with_evidence,16,0.15712125150617384,64.70744371414185,801,-0.028655290603637695,0.27937964383820185,0.0819367168762507,16,0.12225839233202801
100,64,16,8,nadam,0.05,BC_with_evidence,32,0.1987807237357927,67.01988291740417,801,-0.2693411111831665,0.27937964383820185,0.0819367168762507,16,0.08059892010240916
100,64,16,8,nadam,0.05,BC_with_evidence,64,0.18990651761759728,61.3379545211792,801,-0.2840999364852905,0.27937964383820185,0.0819367168762507,16,0.08947312622060458
100,64,16,8,nadam,0.05,BC_observed_positive,0,0.28261400140705717,5.463553428649902,801,,0.27937964383820185,0.0819367168762507,16,0.0032343575688553172
100,64,16,8,nadam,0.05,BC_observed_positive,16,0.28860811366516265,5.4964423179626465,801,,0.27937964383820185,0.0819367168762507,16,0.009228469826960795
100,64,16,8,nadam,0.05,BC_observed_positive,32,0.28716794676516566,5.496907711029053,801,,0.27937964383820185,0.0819367168762507,16,0.007788302926963808
100,64,16,8,nadam,0.05,BC_observed_positive,64,0.2864936529479176,5.492202043533325,801,,0.27937964383820185,0.0819367168762507,16,0.007114009109715769
100,64,16,8,nadam,0.1,simple_BC,0,0.2822737577536284,0.01596689224243164,45,,0.27937964383820185,0.0819367168762507,16,0.002894113915426544
100,64,16,8,nadam,0.1,simple_BC,16,0.2822737577536284,0.018281221389770508,45,,0.27937964383820185,0.0819367168762507,16,0.002894113915426544
100,64,16,8,nadam,0.1,simple_BC,32,0.2822737577536284,0.021463871002197266,45,,0.27937964383820185,0.0819367168762507,16,0.002894113915426544
100,64,16,8,nadam,0.1,simple_BC,64,0.2822737577536284,0.021671295166015625,45,,0.27937964383820185,0.0819367168762507,16,0.002894113915426544
100,64,16,8,nadam,0.1,BC_with_evidence,0,0.20029952018569025,66.34697008132935,801,0.4603092670440674,0.27937964383820185,0.0819367168762507,16,0.0790801236525116
100,64,16,8,nadam,0.1,BC_with_evidence,16,0.1680448587221598,57.83151459693909,801,-0.3979405164718628,0.27937964383820185,0.0819367168762507,16,0.11133478511604206
100,64,16,8,nadam,0.1,BC_with_evidence,32,0.17279218781714095,70.07608914375305,801,-0.04256939888000488,0.27937964383820185,0.0819367168762507,16,0.1065874560210609
100,64,16,8,nadam,0.1,BC_with_evidence,64,0.19783230270242386,60.33399724960327,801,-0.19306504726409912,0.27937964383820185,0.0819367168762507,16,0.081547341135778
100,64,16,8,nadam,0.1,BC_observed_positive,0,0.280051859574001,5.492218732833862,801,,0.27937964383820185,0.0819367168762507,16,0.0006722157357991754
100,64,16,8,nadam,0.1,BC_observed_positive,16,0.2851123064313191,5.473443508148193,801,,0.27937964383820185,0.0819367168762507,16,0.0057326625931172215
100,64,16,8,nadam,0.1,BC_observed_positive,32,0.28748853053719625,5.498178720474243,801,,0.27937964383820185,0.0819367168762507,16,0.0081088866989944
100,64,16,8,nadam,0.1,BC_observed_positive,64,0.29516875150685135,5.491966724395752,801,,0.27937964383820185,0.0819367168762507,16,0.015789107668649494
100,64,16,8,adam,5e-05,simple_BC,0,0.24961599151396344,0.02006840705871582,42,,0.1332942918717368,0.07293299661683794,16,0.11632169964222663
100,64,16,8,adam,5e-05,simple_BC,16,0.24961599151396344,0.01898956298828125,42,,0.1332942918717368,0.07293299661683794,16,0.11632169964222663
100,64,16,8,adam,5e-05,simple_BC,32,0.24961599151396344,0.015119552612304688,42,,0.1332942918717368,0.07293299661683794,16,0.11632169964222663
100,64,16,8,adam,5e-05,simple_BC,64,0.24961599151396344,0.014061689376831055,42,,0.1332942918717368,0.07293299661683794,16,0.11632169964222663
100,64,16,8,adam,5e-05,BC_with_evidence,0,0.24961597426884183,3.215477705001831,42,-0.9122142791748047,0.1332942918717368,0.07293299661683794,16,0.11632168239710503
100,64,16,8,adam,5e-05,BC_with_evidence,16,0.24967715619130573,3.430872678756714,42,-1.3710861206054688,0.1332942918717368,0.07293299661683794,16,0.11638286431956893
100,64,16,8,adam,5e-05,BC_with_evidence,32,0.24969218416320613,3.7226386070251465,42,-1.5450711250305176,0.1332942918717368,0.07293299661683794,16,0.11639789229146932
100,64,16,8,adam,5e-05,BC_with_evidence,64,0.24961608998883475,3.429013729095459,42,-0.9055517911911011,0.1332942918717368,0.07293299661683794,16,0.11632179811709795
100,64,16,8,adam,5e-05,BC_observed_positive,0,0.249614696075075,0.28023719787597656,42,,0.1332942918717368,0.07293299661683794,16,0.1163204042033382
100,64,16,8,adam,5e-05,BC_observed_positive,16,0.24961552485267402,0.2850346565246582,42,,0.1332942918717368,0.07293299661683794,16,0.11632123298093722
